,Unnamed: 0,County,Household 65+,Average Household Size,Median Housing Costs,Income,Percent Overcrowded,Percent Below Poverty Level,Percent Less Than High School Education,Percent Non White,Unemployment Rate 2019,"Peak Covid Death Rates per 100,000","Peak Covid Case Rates per 100,000","Covid Case Rates per 100,000","Covid Death Rates per 100,000",Urban Percent,Rural Percent,State,Unemployment Rate 2020,Labor Force,"Mortality Rate Per 100,000",Population,Projected Deaths From Unemployment,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Covid Death Rate (Delayed After Lockdown)
83,83,Benton County,0.24701539347448306,2.7,961,77122,0.036740737693960863,9.4,0.07458323487487517,0.12432692778043265,1.6,378.30343804743836,33148.83875890678,8050.053557162867,108.18905141129393,0.7342722702075545,0.2657277297924455,AR,8.1,130437.0,716.1,3666675.0,11.590801132770151,-25.588235294117645,-5.970588235294117,74.42647058823529,-57.45588235294117,-40.9264705882353,14.5,5.345442396721825
89,89,Clay County,0.3629733085040348,2.29,515,50687,0.019863438857852262,21.1,0.1239883017071346,0.04123849822016257,2.9,907.1541474812727,24823.036217442106,10013.057521819806,261.15043639612395,0.4066741377163491,0.5933258622836508,AR,8.8,5295.0,1460.5,293602.0,10.878238286864534,-27.426470588235286,-1.1176470588235294,102.76470588235294,-15.897058823529413,-41.897058823529406,16.029411764705884,8.17433123752563
98,98,Dallas County,0.4072078140788144,2.21,501,51701,0.0013472549680026945,14.7,0.11709637814610192,0.4658606951504327,1.7,684.8337851333999,30303.89499215295,8303.609644742473,171.20844628334999,0.4106852497096399,0.5893147502903601,AR,9.6,2649.0,1413.9,150578.0,13.755116074725391,-34.176470588235304,-10.352941176470589,-10.632352941176473,-39.54411764705883,-41.9264705882353,16.75,5.312861108528471
109,109,Howard County,0.3164138467522365,2.55,537,50445,0.017697394010112798,19.4,0.09492897510310064,0.32634663060626545,4.0,181.79063778215425,23632.78291168005,9218.300257536735,143.91758824420543,0.3111574222507214,0.6888425777492786,AR,8.2,5299.0,1242.8,249114.0,7.772207008839326,-48.735294117647065,-26.39705882352941,41.897058823529406,-29.94117647058824,-57.08823529411765,24.617647058823533,8.028452836853807
117,117,Lee County,0.3558951965065502,2.36,506,50338,0.02027448533998753,22.1,0.17066383993639858,0.5704807483141179,5.0,1083.8884498137068,26419.7809642091,17319.63418764819,316.13413119566445,0.4299816345270891,0.570018365472911,AR,9.9,2627.0,1200.5,197163.0,5.486443858634733,-43.352941176470594,-19.544117647058822,-50.30882352941178,-62.191176470588225,-37.352941176470594,13.764705882352946,20.287782190370407
128,128,Nevada County,0.3432440388578157,2.41,515,45353,0.011186340889019724,23.1,0.0633578431372549,0.3716920129325829,3.0,436.2578768783325,15996.122152205526,7682.985942801745,266.6020358700921,0.2886259040105194,0.7113740959894806,AR,9.1,3450.0,1298.7,166169.0,11.513458617431652,-46.29411764705882,-10.235294117647056,5.647058823529411,-57.0,-37.691176470588225,12.970588235294118,28.886254355505546
138,138,Pulaski County,0.2654522907162878,2.44,892,68090,0.020708505482407567,16.8,0.06400975564289375,0.4407596566632822,2.9,355.1826817823436,27107.174843267985,7507.061552240177,113.2910278098854,0.8828686166728376,0.11713138332716246,AR,11.9,183876.0,903.5,6779345.0,15.43853256914938,-26.02941176470589,-1.1764705882352942,35.6764705882353,-28.794117647058826,-34.044117647058826,12.088235294117649,4.18919526886447
150,150,Washington County,0.2130432293157744,2.57,841,63719,0.03861437160034355,16.4,0.09299814378525023,0.2281511393135276,3.1,210.71379297369842,33122.20145743707,10503.91534656984,102.43031602888115,0.7458204263848397,0.2541795736151604,AR,8.4,119418.0,679.9,3466796.0,8.688813138182923,-22.808823529411764,-1.9705882352941173,87.72058823529413,-14.0,-38.23529411764706,13.264705882352946,6.230536783819987
160,160,Fresno County,0.2718167232856781,3.14,1106,60668,0.09370717037017792,22.5,0.14661865018734485,0.34995292126831223,5.3,347.11205373630895,39545.55145075423,7834.84352432837,90.48134272711168,0.8851364842123278,0.1148635157876722,CA,16.9,450261.0,675.5,16109944.0,15.330336347910333,-37.5735294117647,-2.2941176470588243,-30.25,-32.19117647058823,-36.161764705882355,12.926470588235292,5.661099753046937
165,165,Kern County,0.2508047150753657,3.17,1080,59464,0.09213710124980576,21.0,0.1521446196384509,0.25629054989573485,5.7,107.97576543931251,39828.39407155283,9153.278930728879,61.20848431796419,0.874894062953859,0.1251059370461411,CA,18.7,370837.0,677.2,14181056.0,16.115093468638726,-33.661764705882355,-3.6764705882352944,-0.5882352941176471,-21.838235294117645,-35.029411764705884,12.411764705882351,6.995247744596735
169,169,Los Angeles County,0.2805232159358658,2.99,1620,76673,0.11333591614796815,14.9,0.14279347508498785,0.4873374881094909,3.9,542.7972826666755,49652.264887703655,9722.72733022967,131.92408448281307,0.9930050890023908,0.006994910997609342,CA,20.4,4756891.0,607.1,176589074.0,18.888679079009727,-47.95588235294117,-17.176470588235293,-34.35294117647059,-48.67647058823529,-44.735294117647065,20.23529411764705,7.662988254867909
171,171,Marin County,0.381885954928295,2.4,2412,153656,0.04651339251840048,7.2,0.04594101682363739,0.22170245015253345,2.4,64.90847132822823,11994.15823758046,4344.231259610704,57.56763230896433,0.9154243170823816,0.08457568291761829,CA,11.2,128079.0,733.6,4515423.0,12.817978007907564,-57.55882352941178,-23.735294117647058,-29.911764705882355,-51.67647058823529,-52.5,22.308823529411764,7.175407486740445
173,173,Merced County,0.2666483351664833,3.32,1066,58871,0.08746625337466253,21.2,0.1840115829679093,0.4493592058426867,7.1,345.72169403630073,36127.91702679343,8354.580812445982,104.43676174013252,0.8476785586274463,0.1523214413725537,CA,18.7,115510.0,616.3,4410116.0,13.107436665158012,-29.294117647058826,-7.9411764705882355,5.132352941176472,-24.77941176470589,-31.867647058823533,12.088235294117649,9.795660703709382
179,179,Orange County,0.2978548268323997,3.01,1973,102052,0.08836887416963216,10.9,0.09960935628431708,0.3903926208095595,3.0,182.8892726372709,34359.75529113025,6384.529733991833,69.11879363615867,0.9983087156439988,0.0016912843560010565,CA,13.8,1540338.0,587.3,53800896.0,12.711837059263846,-50.08823529411765,-13.676470588235292,-25.69117647058824,-49.54411764705882,-46.235294117647065,21.014705882352946,6.185770586422947
182,182,Riverside County,0.3164853295589832,3.28,1502,76938,0.06942265962010945,13.7,0.11589303814372967,0.4009162164168366,4.5,329.8056381059085,51916.458952798304,9450.54251165532,97.10404096908134,0.9434886918685612,0.056511308131438835,CA,15.6,1085200.0,696.3,36306299.0,16.171310618028016,-43.147058823529406,-9.852941176470589,-43.92647058823529,-37.058823529411775,-40.54411764705883,16.161764705882348,7.447743434272933
185,185,San Bernardino County,0.2689653654402782,3.29,1367,70188,0.08848171737356554,16.0,0.12311030094596133,0.3879855618648591,4.6,171.18598586752353,60693.41333021418,11078.604733301685,71.55684296713201,0.9238605162391356,0.07613948376086456,CA,13.6,933853.0,625.4,35256580.0,10.436064692207813,-40.632352941176464,-8.308823529411764,-25.95588235294117,-33.382352941176464,-36.588235294117645,15.441176470588234,5.808844760325591
188,188,San Joaquin County,0.2821360913867706,3.17,1355,72874,0.07399580866879296,14.5,0.12935595066809355,0.4353806811984331,4.7,316.47396568645456,35070.35378955268,7292.546854416727,96.83158651600478,0.9139954225578064,0.08600457744219375,CA,17.8,325606.0,722.1,11877799.0,18.1519425370138,-35.367647058823536,-3.882352941176471,-5.279411764705882,-23.367647058823533,-35.044117647058826,14.147058823529413,9.193622488476187
191,191,Santa Barbara County,0.3170592913558578,2.91,1676,85186,0.10734560114085123,13.5,0.12134750571694758,0.22492013785072465,3.7,198.88062459266425,24677.322905538418,5192.396847473343,49.94412081550014,0.9385477053535208,0.06145229464647919,CA,13.9,212287.0,700.2,7529180.0,14.096004768593659,-46.38235294117647,-11.764705882352946,-16.455882352941178,-44.38235294117647,-41.411764705882355,15.191176470588234,4.250130824339436
